"pid","male","yob","yod","f.pid","m.pid","patrilineal","area"
"2RNF",0,1909,NA,NA,NA,0,"mat.tourist"
"Q8JB",1,1909,NA,NA,NA,0,"mat.tourist"
"5XRP",0,1917,NA,NA,NA,1,"patrilineal"
"N3TU",0,1920,NA,NA,NA,0,"mat.trad"
"RJ5K",0,1922,NA,NA,NA,0,"mat.tourist"
"FD5B",0,1922,NA,NA,NA,0,"mat.trad"
"O4TN",0,1925,NA,NA,NA,0,"mat.tourist"
"2MPN",1,1925,NA,NA,NA,0,"mat.trad"
"SOGA",0,1925,NA,NA,NA,0,"mat.trad"
"ZCIR",0,1926,NA,NA,NA,0,"mat.tourist"
"6M9K",0,1928,NA,NA,NA,0,"mat.tourist"
"AVSU",0,1928,NA,NA,NA,0,"mat.tourist"
"OH39",0,1928,NA,NA,NA,0,"mat.trad"
"Z6RF",0,1928,NA,NA,NA,0,"mat.trad"
"PQI1",0,1928,NA,NA,NA,0,"mat.trad"
"72J5",0,1929,NA,NA,NA,0,"mat.trad"
"498T",0,1929,NA,NA,NA,0,"mat.trad"
"BBK7",0,1929,NA,NA,NA,0,"mat.trad"
"S9Z5",0,1929,NA,NA,NA,0,"mat.trad"
"2LN0",0,1930,NA,NA,NA,0,"mat.tourist"
"GRGD",1,1930,NA,NA,NA,0,"mat.trad"
"2RE7",0,1930,NA,NA,NA,1,"patrilineal"
"Q200",1,1931,NA,NA,NA,0,"mat.tourist"
"QQ94",0,1931,NA,NA,NA,0,"mat.trad"
"WIAC",0,1931,NA,NA,NA,0,"mat.trad"
"9KFR",1,1932,NA,NA,NA,0,"mat.tourist"
"8K59",0,1932,NA,NA,NA,0,"mat.tourist"
"4IIF",0,1932,NA,NA,NA,0,"mat.tourist"
"VJZZ",0,1932,NA,NA,NA,0,"mat.trad"
"2RXV",1,1932,NA,NA,NA,0,"mat.trad"
"WL4D",1,1932,NA,NA,NA,1,"patrilineal"
"KO2I",1,1933,NA,NA,NA,0,"mat.tourist"
"2DS2",1,1933,NA,NA,NA,0,"mat.trad"
"3PE1",0,1933,NA,NA,NA,0,"mat.trad"
"U91U",0,1933,NA,NA,NA,0,"mat.trad"
"BNAP",0,1933,NA,NA,NA,0,"mat.trad"
"YR4G",0,1933,NA,NA,NA,0,"mat.trad"
"ISVT",0,1933,NA,NA,NA,0,"mat.trad"
"GY9S",0,1934,NA,NA,NA,0,"mat.tourist"
"6LPL",0,1934,NA,NA,NA,0,"mat.tourist"
"BAMY",0,1934,NA,NA,NA,0,"mat.trad"
"7U60",0,1934,NA,NA,NA,0,"mat.trad"
"JWZG",1,1935,NA,NA,NA,0,"mat.tourist"
"X8AU",0,1935,NA,NA,NA,0,"mat.trad"
"AF2K",1,1935,NA,NA,NA,0,"mat.trad"
"IE5W",0,1936,NA,NA,NA,0,"mat.tourist"
"Z2EC",1,1936,NA,NA,NA,0,"mat.trad"
"PLHP",0,1936,NA,NA,NA,0,"mat.trad"
"SNTT",0,1936,NA,NA,NA,0,"mat.trad"
"GSQF",1,1936,NA,NA,NA,0,"mat.trad"
"2RVH",0,1936,NA,NA,NA,0,"mat.trad"
"XOBG",1,1936,NA,NA,NA,0,"mat.trad"
