"conc","patrilineal","ageb","age15","age20","age25","age30","age35","age40","yearbirth10","yearbirth1920","yearbirth1930","yearbirth1940","yearbirth1950","yearbirth1960","yearbirth1970","yearbirth1980","mi_job","highestgrade","bly","pcom","pcode","uid"
0,1,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,1,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,1,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","WNVH"
0,1,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","WNVH"
0,1,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P0","0","9CBC"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","WNVH"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EBWX"
0,1,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P0","0","9CBC"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","WNVH"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EBWX"
0,1,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P0","0","9CBC"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","WNVH"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EBWX"
0,1,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","N8E1"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P0","0","9CBC"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","WNVH"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EBWX"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EP9U"
0,1,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","N8E1"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","AZEW"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P0","0","9CBC"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","WNVH"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EBWX"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EP9U"
0,1,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","N8E1"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","AZEW"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P0","0","9CBC"
1,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","WNVH"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EBWX"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EP9U"
1,1,"25",0,0,1,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","ZZF7"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","N8E1"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P1111","4h","0LWK"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","SVF1"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","AZEW"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P0","0","9CBC"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,1,"P0","0","WNVH"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EBWX"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","RB9Y"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","V93N"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","U975"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EP9U"
0,1,"25",0,0,1,0,0,0,"1920",1,0,0,0,0,0,0,0,0,1,"P0","0","ZZF7"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","N8E1"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P1111","4h","0LWK"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","SVF1"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","AZEW"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P0","0","9CBC"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P1","1","0108"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P0","0","WNVH"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","JN3V"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","VV7G"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EBWX"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","RB9Y"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","V93N"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","U975"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","1P29"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","EP9U"
0,1,"25",0,0,1,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P0","0","ZZF7"
0,0,"20",0,1,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P","","N8E1"
0,0,"15",1,0,0,0,0,0,"1930",0,1,0,0,0,0,0,0,0,0,"P","","BLZB"
0,0,"15",1,0,0,0,0,0,"1920",1,0,0,0,0,0,0,0,0,0,"P1111","4h","0LWK"
